Figure of merit results from optimization:
2018-12-17 11:14:08, SI=1, It_no=0, Feval_no=1, FOM=78.20720044212503
2018-12-17 11:14:10, SI=1, It_no=0, Feval_no=2, FOM=1302.4808898060273
2018-12-17 11:14:12, SI=1, It_no=0, Feval_no=3, FOM=1383.5220190451248
2018-12-17 11:14:14, SI=1, It_no=0, Feval_no=4, FOM=1845.3290624216645
2018-12-17 11:14:16, SI=1, It_no=1, Feval_no=5, FOM=2140.1691599291835
2018-12-17 11:14:18, SI=1, It_no=1, Feval_no=6, FOM=857.2381158747105
2018-12-17 11:14:20, SI=1, It_no=2, Feval_no=7, FOM=1780.9343971216579
2018-12-17 11:14:22, SI=1, It_no=2, Feval_no=8, FOM=629.2092128440771
2018-12-17 11:14:24, SI=1, It_no=3, Feval_no=9, FOM=2134.0792184574843
2018-12-17 11:14:26, SI=1, It_no=3, Feval_no=10, FOM=511.39526230863004
2018-12-17 11:14:27, SI=2, It_no=0, Feval_no=1, FOM=78.20720044212503
2018-12-17 11:14:29, SI=2, It_no=0, Feval_no=2, FOM=1204.1900393974959
2018-12-17 11:14:31, SI=2, It_no=0, Feval_no=3, FOM=1207.5601826696284
2018-12-17 11:14:33, SI=2, It_no=0, Feval_no=4, FOM=893.8288055479994
2018-12-17 11:14:35, SI=2, It_no=1, Feval_no=5, FOM=885.8603814295342
2018-12-17 11:14:37, SI=2, It_no=2, Feval_no=6, FOM=2131.45994581798
2018-12-17 11:14:39, SI=2, It_no=2, Feval_no=7, FOM=489.02026973338724
2018-12-17 11:14:40, SI=2, It_no=3, Feval_no=8, FOM=477.2269104632417
2018-12-17 11:14:42, SI=3, It_no=0, Feval_no=1, FOM=78.20720044212503
2018-12-17 11:14:44, SI=3, It_no=0, Feval_no=2, FOM=739.3318053563551
2018-12-17 11:14:46, SI=3, It_no=0, Feval_no=3, FOM=2272.226920909619
2018-12-17 11:14:48, SI=3, It_no=0, Feval_no=4, FOM=2124.727680485531
2018-12-17 11:14:50, SI=3, It_no=1, Feval_no=5, FOM=1581.6557011734346
2018-12-17 11:14:52, SI=3, It_no=2, Feval_no=6, FOM=2806.353524092451
2018-12-17 11:14:54, SI=3, It_no=2, Feval_no=7, FOM=1043.5724060164835
2018-12-17 11:14:55, SI=3, It_no=3, Feval_no=8, FOM=1490.824967147883
2018-12-17 11:14:57, SI=3, It_no=3, Feval_no=9, FOM=853.5217188456553
